year,month,AUTO,BANKEX,BSE_CD,BSE_CG,BSE_HC,BSE_IT,BSEFMC,BSESER,CDGS,COMDTY,ENERGY,FIN,INDSTR,METAL,OILGAS,POWER,REALTY,TECK,TELCOM,UTILS
2014,1,,,,,,,,,,,,,,,,,,,
2014,2,,,,,,,,,,,,,,,,,,,
2014,3,,,,,,,,,,,,,,,,,,,
2014,4,4,4,5,5,,2,-1,,4,,1,4,5,-1,1,1,1,1,-1,-1
2014,5,4,5,5,6,,-1,-4,,4,,2,5,6,-3,2,1,1,-2,-1,-3
2014,6,4,6,5,6,,-5,-5,,5,,5,6,6,-1,5,4,4,-5,1,-1
2014,7,4,5,5,6,,-5,-6,,5,,5,6,6,2,5,5,-5,1,2
